Sky,AirTemp,Humidity,Wind,Water,Forecast,EnjoySport
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Same,Yes
Rainy,Cold,High,Strong,Warm,Change,No
Sunny,Warm,High,Strong,Cool,Change,Yes
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Rainy,Cold,High,Strong,Warm,Change,No
Sunny,Warm,High,Strong,Cool,Change,Yes
Sunny,Warm,Normal,Weak,Warm,Same,Yes
Rainy,Cold,High,Strong,Cool,Change,No
Sunny,Warm,Normal,Strong,Warm,Same,Yes
Sunny,Warm,High,Weak,Warm,Same,Yes
Sunny,Warm,High,Strong,Warm,Change,Yes
Rainy,Cold,High,Weak,Warm,Change,No
Sunny,Warm,Normal,Weak,Cool,Change,Yes
